request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_45,7567699.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Safe amount today is 49450; selected installments because its payments stay above the minimum balance.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Safe amount today is 38114000; selected full_payment because its payments stay above the minimum balance.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Safe amount today is 45700; selected full_payment because its payments stay above the minimum balance.
request_49,15959493.33,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Safe amount today is 43900; selected full_payment because its payments stay above the minimum balance.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Safe amount today is 2191000; selected full_payment because its payments stay above the minimum balance.
request_52,11950.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_53,0.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_54,14000.8,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_55,111306.19,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,Safe amount today is 881.56; selected installments because its payments stay above the minimum balance.
request_57,17149.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Safe amount today is 16226000; selected full_payment because its payments stay above the minimum balance.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Safe amount today is 140600; selected installments because its payments stay above the minimum balance.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Safe amount today is 199.89; selected full_payment because its payments stay above the minimum balance.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Safe amount today is 29062; selected installments because its payments stay above the minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Safe amount today is 404.23; selected full_payment because its payments stay above the minimum balance.
request_63,84729.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_64,0.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_65,12634.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Safe amount today is 22200; selected full_payment because its payments stay above the minimum balance.
request_67,706.54,affordable_later,wait,none,2024-09-15,none,The full amount first passes the 90-day safety check on 2024-09-15; wait until then.
request_68,1593.83,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_69,474.5,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_70,31290.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_71,6689899.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Safe amount today is 11330; selected full_payment because its payments stay above the minimum balance.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Safe amount today is 71400; selected full_payment because its payments stay above the minimum balance.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Safe amount today is 5010; selected full_payment because its payments stay above the minimum balance.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Safe amount today is 28270; selected installments because its payments stay above the minimum balance.
request_76,1067.8,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Safe amount today is 60700; selected full_payment because its payments stay above the minimum balance.
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Safe amount today is 50200; selected full_payment because its payments stay above the minimum balance.
request_79,1060.08,affordable_with_plan,partial_payment,2024-09-04:1060.08|2024-09-15:1091.52,2024-09-15,none,Safe amount today is 1060.08; selected partial_payment because its payments stay above the minimum balance.
request_80,118080.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_81,1617.25,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_82,144.4,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_83,26830.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_84,48180.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_85,1265019.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Safe amount today is 46300; selected full_payment because its payments stay above the minimum balance.
request_87,69810.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_88,4763.59,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_89,12406962.0,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Safe amount today is 12406962; selected installments because its payments stay above the minimum balance.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Safe amount today is 2560; selected full_payment because its payments stay above the minimum balance.
request_91,1226.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Safe amount today is 34034; selected full_payment because its payments stay above the minimum balance.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Safe amount today is 1729.2; selected full_payment because its payments stay above the minimum balance.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Safe amount today is 572; selected full_payment because its payments stay above the minimum balance.
request_95,18389.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_96,90200.0,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,Safe amount today is 90200; selected installments because its payments stay above the minimum balance.
request_97,5115.99,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Safe amount today is 5115.99; selected installments because its payments stay above the minimum balance.
request_98,14614.59,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Safe amount today is 18062; selected full_payment because its payments stay above the minimum balance.
request_100,31359.02,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Safe amount today is 31359.02; selected installments because its payments stay above the minimum balance.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Safe amount today is 143500; selected full_payment because its payments stay above the minimum balance.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Safe amount today is 1716; selected installments because its payments stay above the minimum balance.
request_103,15088.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Safe amount today is 17204; selected full_payment because its payments stay above the minimum balance.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Safe amount today is 53500; selected full_payment because its payments stay above the minimum balance.
request_106,687.69,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_107,2242.52,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_108,5308.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_109,1203.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Safe amount today is 1203.46; selected installments because its payments stay above the minimum balance.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Safe amount today is 22352; selected installments because its payments stay above the minimum balance.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Safe amount today is 16625000; selected full_payment because its payments stay above the minimum balance.
request_112,253.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Safe amount today is 36500; selected full_payment because its payments stay above the minimum balance.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Safe amount today is 65300; selected full_payment because its payments stay above the minimum balance.
request_115,5610.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_116,45330.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Safe amount today is 880; selected full_payment because its payments stay above the minimum balance.
request_118,533.51,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_119,127061.01,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Safe amount today is 7714000; selected full_payment because its payments stay above the minimum balance.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Safe amount today is 633.6; selected full_payment because its payments stay above the minimum balance.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Safe amount today is 20558000; selected installments because its payments stay above the minimum balance.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Safe amount today is 4076000; selected full_payment because its payments stay above the minimum balance.
request_124,1648.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Safe amount today is 1648.56; selected installments because its payments stay above the minimum balance.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Safe amount today is 6468; selected full_payment because its payments stay above the minimum balance.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Safe amount today is 159600; selected full_payment because its payments stay above the minimum balance.
request_127,11930.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Safe amount today is 25168; selected full_payment because its payments stay above the minimum balance.
request_129,198.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_130,548.46,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_131,1618.15,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Safe amount today is 379.86; selected full_payment because its payments stay above the minimum balance.
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_134,10256199.99,affordable_later,wait,none,2025-08-15,none,The full amount first passes the 90-day safety check on 2025-08-15; wait until then.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Safe amount today is 304.8; selected full_payment because its payments stay above the minimum balance.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Safe amount today is 560.4; selected full_payment because its payments stay above the minimum balance.
request_137,13885.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_138,933.9,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_139,2104.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Safe amount today is 2104.84; selected installments because its payments stay above the minimum balance.
request_140,0.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_141,40320.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Safe amount today is 1263.6; selected full_payment because its payments stay above the minimum balance.
request_143,1992.1,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_144,186.08,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_145,30088.66,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_146,80939.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_147,624.53,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_148,8514.88,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_149,36568.08,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Safe amount today is 36568.08; selected installments because its payments stay above the minimum balance.
request_150,464.44,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,,stop:event_13754,Safe amount today is 464.44; selected installments because its payments stay above the minimum balance.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Safe amount today is 26999000; selected full_payment because its payments stay above the minimum balance.
request_152,9990.86,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_153,359.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Safe amount today is 1625.8; selected installments because its payments stay above the minimum balance.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Safe amount today is 112500; selected full_payment because its payments stay above the minimum balance.
request_156,10496.2,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_157,6480899.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Safe amount today is 242600; selected installments because its payments stay above the minimum balance.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Safe amount today is 13398; selected full_payment because its payments stay above the minimum balance.
request_160,215.61,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_161,7035699.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_162,6252900.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_163,4383624.25,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Safe amount today is 27018000; selected installments because its payments stay above the minimum balance.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Safe amount today is 80600; selected full_payment because its payments stay above the minimum balance.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Safe amount today is 2907.6; selected installments because its payments stay above the minimum balance.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Safe amount today is 43802; selected full_payment because its payments stay above the minimum balance.
request_168,43303.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Safe amount today is 41976; selected full_payment because its payments stay above the minimum balance.
request_170,25265698.39,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_171,259.65,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_172,7427.2,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_173,72510.53,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Safe amount today is 1146.2; selected installments because its payments stay above the minimum balance.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Safe amount today is 2346.3; selected full_payment because its payments stay above the minimum balance.
request_176,536.95,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Safe amount today is 1017.6; selected full_payment because its payments stay above the minimum balance.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Safe amount today is 2938.1; selected installments because its payments stay above the minimum balance.
request_179,24091999.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Safe amount today is 66500; selected full_payment because its payments stay above the minimum balance.
request_181,839.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Safe amount today is 65714; selected full_payment because its payments stay above the minimum balance.
request_183,26866000.0,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-07,stop:event_16782,Safe amount today is 26866000; selected installments because its payments stay above the minimum balance.
request_184,35270.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_185,366.4,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_186,20226.79,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_187,19900.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_188,0.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Safe amount today is 488.4; selected full_payment because its payments stay above the minimum balance.
request_190,1075.8,affordable_later,wait,none,2024-12-15,none,The full amount first passes the 90-day safety check on 2024-12-15; wait until then.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Safe amount today is 664.4; selected full_payment because its payments stay above the minimum balance.
request_192,338.8,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_193,109.62,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_194,27740.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,reduce_to:event_17923:12,Safe amount today is 1170.4; selected installments because its payments stay above the minimum balance.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Safe amount today is 762.3; selected full_payment because its payments stay above the minimum balance.
request_197,48839368.25,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Safe amount today is 185800; selected full_payment because its payments stay above the minimum balance.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Safe amount today is 23674000; selected installments because its payments stay above the minimum balance.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Safe amount today is 21717000; selected full_payment because its payments stay above the minimum balance.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Safe amount today is 23997000; selected full_payment because its payments stay above the minimum balance.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Safe amount today is 123900; selected full_payment because its payments stay above the minimum balance.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Safe amount today is 1442.1; selected installments because its payments stay above the minimum balance.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Safe amount today is 588.74; selected full_payment because its payments stay above the minimum balance.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Safe amount today is 10621000; selected full_payment because its payments stay above the minimum balance.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Safe amount today is 1404.7; selected installments because its payments stay above the minimum balance.
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,Safe amount today is 11830; selected full_payment because its payments stay above the minimum balance.
request_208,2175500.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_209,8547.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_210,1064.52,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_211,1141.88,affordable_later,wait,none,2024-09-15,none,The full amount first passes the 90-day safety check on 2024-09-15; wait until then.
request_212,7723499.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Safe amount today is 3362.4; selected installments because its payments stay above the minimum balance.
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Safe amount today is 69750; selected installments because its payments stay above the minimum balance.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Safe amount today is 29986; selected installments because its payments stay above the minimum balance.
request_216,1007.8,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_217,27055.67,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Safe amount today is 27055.67; selected installments because its payments stay above the minimum balance.
request_218,37753364.79,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Safe amount today is 37753364.79; selected installments because its payments stay above the minimum balance.
request_219,1514.51,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_220,133.32,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Safe amount today is 109800; selected full_payment because its payments stay above the minimum balance.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Safe amount today is 34078; selected full_payment because its payments stay above the minimum balance.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Safe amount today is 898.7; selected full_payment because its payments stay above the minimum balance.
request_224,6503699.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_225,7977309.59,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Safe amount today is 157000; selected full_payment because its payments stay above the minimum balance.
request_227,40370.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_228,1816399.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_229,562.52,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Safe amount today is 3537.6; selected full_payment because its payments stay above the minimum balance.
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Safe amount today is 35706; selected installments because its payments stay above the minimum balance.
